group,item,timestamp
1,25,2013
1,10,2013
1,70,2014
1,84,2013
1,56,2014
1,461,2013
1,36,2014
1,348,2014
1,41,2014
1,154,2013
1,557,2014
1,178,2013
1,91,2013
1,125,2013
1,117,2013
1,284,2014
1,64,2014
1,126,2013
1,98,2013
1,104,2013
1,20,2013
1,210,2014
1,338,2014
1,223,2014
1,74,2013
1,151,2013
1,401,2014
1,86,2013
1,897,2013
1,684,2013
1,513,2013
1,34,2013
1,920,2012
1,681,2012
1,28,2013
1,75,2013
1,46,2013
1,94,2014
2,19,2013
2,188,2013
2,86,2013
2,193,2013
2,348,2014
2,140,2013
2,91,2013
2,93,2013
2,125,2013
2,513,2013
2,10,2013
2,25,2013
2,681,2011
2,208,2013
2,337,2008
2,146,2013
2,1476,2010
2,255,2014
2,18,2013
2,126,2013
2,20,2013
2,553,2009
2,100,2013
2,74,2013
3,56,2014
3,94,2014
3,62,2014
3,1259,2014
3,31,2014
3,47,2014
3,43,2014
3,813,2014
3,76,2014
3,70,2014
3,36,2014
3,51,2014
4,122,2013
4,28,2013
4,148,2013
4,156,2013
4,25,2013
4,192,2013
4,87,2013
4,86,2013
4,714,2013
4,158,2013
4,208,2013
4,134,2013
4,478,2014
4,21,2013
4,184,2014
4,55,2013
4,91,2013
4,424,2013
4,320,2014
4,113,2012
4,832,2014
4,171,2012
4,189,2013
4,552,2013
4,116,2013
5,337,2008
5,557,2014
5,114,2013
5,46,2013
5,348,2014
5,10,2013
6,24,2014
6,37,2014
6,152,2014
6,27,2014
6,55,2013
6,21,2013
6,148,2013
6,28,2013
6,46,2013
6,35,2014
6,667,2014
6,213,2013
6,255,2014
6,190,2013
7,10,2013
7,20,2013
7,213,2013
7,28,2013
8,21,2013
8,28,2013
8,25,2013
8,12,2012
8,514,2013
9,28,2013
9,12,2012
9,148,2013
9,446,2014
9,134,2013
9,25,2013
10,137,2014
10,17,2013
10,69,2013
11,83,2013
11,69,2013
11,10,2013
12,260,2013
12,20,2013
12,159,2014
13,477,2014
13,148,2013
13,28,2013
13,123,2013
14,463,2011
14,275,2013
14,424,2013
14,735,2013
15,1,2013
15,16,2013
15,11,2013
15,431,2013
15,223,2014
15,22,2013
15,9,2013
16,55,2013
16,75,2013
16,12,2012
16,28,2013
17,275,2013
17,2434,2013
17,246,2014
18,826,2013
18,48,2014
18,304,2014
18,305,2013
19,114,2013
19,242,2008
19,46,2013
19,378,2014
19,69,2013
20,1182,2013
20,266,2014
20,60,2014
21,213,2013
21,244,2014
21,17,2014
22,36,2014
22,535,2014
22,4190,2014
22,260,2013
22,172,2014
22,38,2014
22,122,2013
22,418,2014
22,148,2013
22,163,2013
22,5856,2014
22,30,2013
22,4198,2014
22,275,2013
22,3883,2014
22,255,2014
22,348,2014
22,288,2014
22,318,2014
22,159,2014
22,28,2013
22,45,2014
22,199,2012
22,325,2012
22,219,2012
22,125,2013
23,31,2014
23,113,2012
23,4852,2008
23,36,2014
23,70,2014
23,19,2013
23,45,2014
23,43,2014
23,148,2013
23,28,2013
23,159,2014
23,222,2009
24,33,2013
24,25,2013
24,1,2013
24,36,2014
24,162,2013
24,5,2013
24,119,2014
24,133,2013
24,9,2013
24,90,2013
25,148,2013
25,3,2013
25,74,2013
25,28,2013
26,70,2014
26,161,2013
26,75,2013
26,320,2014
26,172,2014
26,45,2014
26,28,2013
26,36,2014
27,20,2013
27,113,2012
27,425,2013
27,80,2013
27,100,2013
27,46,2013
27,116,2013
27,133,2013
27,86,2013
27,151,2013
27,211,2013
