group,user
1,4
1,385
1,468
1,547
1,588
1,595
1,663
1,664
2,4
2,614
2,678
2,690
2,800
2,823
2,856
2,871
3,4
3,651
3,751
3,929
3,965
4,6
4,237
4,715
4,851
4,868
4,1269
4,1578
4,1651
5,6
5,1964
5,2103
5,2331
5,2358
5,2398
5,2537
5,2542
6,6
6,2568
6,2618
6,2624
6,2683
6,2717
6,2923
6,3060
7,6
7,3063
7,3180
7,3235
7,3563
7,3591
7,3601
7,3786
8,6
8,4280
8,4459
8,4554
8,4573
8,4637
8,4646
8,4695
9,6
9,4704
9,4708
9,4778
9,4791
9,4810
9,4814
9,4852
10,6
10,5028
10,5057
10,5166
10,5194
10,5197
10,5198
10,5228
11,6
11,5259
11,5263
11,5313
11,5316
11,5326
11,5339
11,5346
12,6
12,5382
12,5387
12,5399
12,5408
12,5432
12,5442
12,5459
13,6
13,5901
13,5907
13,5939
13,5991
13,6020
13,6036
13,6065
14,6
14,6742
14,6772
14,6815
14,6823
14,6836
14,6859
14,6958
15,6
15,7000
15,7021
15,7076
15,7134
15,7190
15,7192
15,7230
16,6
16,7265
16,7389
16,7399
16,7425
16,7447
16,7450
16,7452
17,6
17,7719
17,7726
17,7729
17,7746
17,7770
17,7794
17,7797
18,6
18,8830
18,8838
18,8871
18,8897
18,8899
18,8900
18,8923
19,6
19,9639
19,9646
19,9665
19,9668
19,9670
19,9671
19,9680
20,6
20,9681
20,9710
20,9714
20,9731
20,9736
20,9798
20,9821
21,6
21,10106
21,10112
21,10114
21,10118
21,10137
21,10145
21,10167
22,7
22,9
22,2537
22,2717
22,4196
22,5228
22,5263
22,5459
23,7
23,3563
23,4064
23,4554
23,4791
23,5028
23,5313
23,5432
24,7
24,3591
24,4121
24,4573
24,4810
24,5166
24,5316
24,5514
25,7
25,3601
25,5194
25,5326
25,5881
25,5939
25,6146
25,6273
26,7
26,6243
26,6534
26,6772
26,7134
26,7284
26,7399
26,7509
27,8
27,81
27,265
27,316
27,355
27,454
27,565
27,602
28,8
28,99
28,174
28,348
28,383
28,398
28,468
28,529
29,8
29,224
29,363
29,563
29,676
30,9
30,31
30,310
30,386
30,449
30,597
30,648
30,724
31,9
31,268
31,469
31,511
31,594
31,660
31,707
31,719
32,9
32,408
32,603
32,760
32,841
32,942
32,994
32,1006
33,9
33,565
33,790
33,1291
33,1478
33,1574
33,1877
33,1914
34,9
34,789
34,813
34,821
34,848
34,891
34,917
34,926
35,9
35,811
35,827
35,828
35,844
35,1005
35,1021
35,1028
36,9
36,829
36,840
36,890
36,1169
36,1185
36,1199
36,1342
37,9
37,833
37,884
37,982
37,1083
37,1408
37,1595
37,1637
38,9
38,861
38,1003
38,1068
38,1070
38,1075
38,1479
38,1534
39,9
39,936
39,1038
39,1118
39,1158
39,1233
39,1356
39,1423
40,9
40,1064
40,1082
40,1102
40,2487
40,2555
41,10
41,25
41,26
41,29
41,404
41,428
41,1072
41,1181
42,10
42,31
42,33
42,35
42,699
42,918
42,1091
42,1155
43,10
43,37
43,51
43,446
43,629
43,648
43,804
43,814
44,10
44,108
44,408
44,470
44,538
44,544
44,1148
44,1247
45,10
45,188
45,516
45,537
45,587
45,1054
45,1106
45,1362
46,10
46,198
46,366
46,625
46,646
