group,item,timestamp
1,36,2011
1,29,2012
1,207,2013
2,348,2013
2,56,2013
2,5772,2014
3,218,2013
3,3,2014
3,5,2014
4,35,2013
4,18,2014
4,289,2014
4,16,2014
5,1,2014
5,5,2014
5,10,2014
6,37,2012
6,12,2012
6,186,2013
6,133,2013
6,5,2014
6,240,2014
7,50,2014
7,172,2014
7,2047,2014
8,91,2013
8,5,2014
8,15,2014
9,9,2013
9,4,2013
9,166,2013
9,81,2013
9,229,2013
9,22,2013
9,78,2014
10,5,2013
10,923,2013
10,326,2013
10,92,2013
10,40,2013
10,1340,2014
10,702,2014
10,1521,2014
10,78,2014
10,57,2014
10,15,2014
10,35,2014
11,137,2014
11,13,2014
11,63,2014
11,111,2014
11,377,2014
12,40,2013
12,112,2013
12,531,2014
12,640,2014
13,402,2013
13,3,2013
13,1547,2014
13,1,2014
13,781,2014
14,353,2013
14,1242,2013
14,2415,2014
15,7,2013
15,19,2013
15,6,2013
15,4989,2014
16,5,2013
16,1,2013
16,10,2014
17,80,2013
17,29,2013
17,276,2014
17,181,2014
18,93,2013
18,458,2013
18,164,2013
18,140,2014
18,1,2014
18,429,2014
19,2936,2013
19,3,2014
19,80,2014
20,80,2013
20,89,2013
20,109,2014
20,458,2014
20,368,2014
20,2,2014
21,7,2012
21,3775,2014
21,102,2014
22,27,2012
22,161,2014
22,15,2014
23,625,2013
23,11,2014
23,46,2014
24,109,2013
24,7,2013
24,5233,2014
24,1882,2014
25,1790,2014
25,180,2014
25,555,2014
25,36,2014
26,3702,2013
26,60,2013
26,5,2014
26,1432,2014
26,1,2014
26,1445,2014
27,3,2013
27,44,2013
27,20,2014
27,49,2014
27,109,2014
27,11,2014
27,380,2014
27,800,2014
28,1011,2013
28,83,2013
28,76,2013
28,100,2014
28,185,2014
29,60,2013
29,63,2013
29,193,2014
29,372,2014
30,1,2011
30,393,2012
30,41,2012
31,524,2013
31,3412,2013
31,177,2014
31,372,2014
32,9,2013
32,1,2013
32,56,2014
33,1032,2013
33,2002,2013
33,1,2014
33,103,2014
34,62,2011
34,486,2013
34,4,2013
34,1,2013
34,5243,2013
34,63,2013
34,5,2014
35,5,2012
35,1,2013
35,6,2013
35,1343,2014
36,1,2011
36,85,2013
36,60,2013
37,332,2013
37,800,2013
37,5,2013
37,424,2014
38,3043,2013
38,372,2014
38,62,2014
39,1,2013
39,76,2014
39,83,2014
39,576,2014
40,2723,2012
40,1,2013
40,5,2013
41,73,2013
41,72,2014
41,1,2014
41,800,2014
42,1,2011
42,5,2013
42,2003,2014
42,62,2014
42,436,2014
43,1,2014
43,228,2014
43,16,2014
44,229,2012
44,5,2013
44,429,2014
45,1,2013
45,62,2013
45,60,2013
45,157,2014
46,380,2012
46,5,2012
46,11,2014
47,60,2013
47,556,2013
47,839,2013
47,3700,2013
47,157,2014
48,1,2013
48,179,2013
48,5,2014
49,203,2013
49,1349,2013
49,7,2013
49,83,2013
49,424,2014
50,193,2013
50,5,2013
50,76,2013
50,83,2013
51,366,2013
51,72,2014
51,1,2014
52,1,2013
52,62,2013
52,179,2014
53,1,2013
53,1011,2013
53,193,2014
53,157,2014
53,76,2014
54,34,2013
54,523,2013
54,1,2013
54,157,2014
55,1,2013
55,179,2013
55,18,2014
55,466,2014
55,62,2014
56,1,2011
56,5,2012
56,230,2013
56,222,2014
57,1,2011
57,1527,2012
57,62,2012
57,3702,2013
58,380,2013
58,76,2013
58,531,2013
58,174,2014
59,1159,2011
59,1,2013
59,424,2014
60,586,2013
60,372,2014
60,1,2014
61,5,2012
61,380,2013
61,1,2013
61,372,2014
62,1,2013
62,3,2013
62,193,2013
63,6,2013
63,5,2013
63,530,2014
64,2996,2013
64,34,2013
64,64,2013
65,1,2013
65,34,2013
65,5,2013
65,322,2014
66,5,2014
66,1,2014
66,112,2014
67,62,2011
67,1,2013
67,5,2013
68,430,2012
68,807,2012
68,839,2014
68,18,2014
68,201,2014
68,21,2014
69,859,2012
69,83,2013
69,10,2013
70,4087,2013
70,15,2013
70,436,2013
70,380,2013
71,610,2013
71,136,2013
71,807,2013
71,93,2013
71,333,2013
72,5,2012
72,54,2013
72,2149,2013
73,107,2012
73,1011,2013
73,60,2014
74,5,2013
74,158,2014
74,240,2014
75,193,2012
75,859,2012
75,1,2013
75,5,2014
76,165,2013
76,83,2013
76,2518,2014
77,4633,2013
77,357,2013
77,679,2014
78,598,2013
78,60,2013
78,465,2014
78,3043,2014
78,424,2014
79,1,2013
79,157,2014
79,148,2014
79,351,2014
79,427,2014
80,62,2013
80,48,2014
80,294,2014
81,62,2012
81,610,2013
81,39,2013
81,5,2013
82,5,2014
82,424,2014
82,1,2014
83,62,2011
83,196,2014
83,372,2014
84,838,2012
84,2,2013
