group,item,timestamp
1,125,2012
1,103,2012
1,393,2013
1,4712,2013
1,2518,2008
2,890,2014
2,882,2014
2,256,2013
2,1480,2014
2,33,2012
2,645,2012
2,288,2014
2,1354,2013
2,491,2013
2,738,2013
2,1312,2013
2,1662,2011
2,4911,2012
2,1551,2013
2,620,2013
2,226,2013
2,634,2012
2,4057,2013
2,2157,2013
2,1040,2013
2,299,2013
2,103,2013
2,160,2013
2,26,2013
2,246,2013
2,338,2013
3,1273,2012
3,882,2014
3,21,2014
3,506,2013
3,90,2013
3,103,2013
3,1400,2011
3,1662,2011
3,370,2013
3,296,2014
3,634,2012
3,175,2013
3,852,2013
3,160,2013
3,246,2013
3,110,2014
3,2040,2011
3,256,2013
3,171,2013
4,3028,2012
4,1069,2014
4,506,2013
4,246,2013
4,656,2012
4,103,2012
4,1312,2013
4,244,2013
4,148,2012
4,2291,2014
4,147,2012
4,1337,2012
4,324,2012
4,175,2013
4,198,2013
4,172,2013
4,1036,2012
4,591,2013
4,514,2011
5,652,2013
5,937,2011
5,355,2010
5,5250,2010
6,250,2012
6,16,2013
6,2560,2012
6,158,2010
6,1326,2013
7,162,2013
7,452,2013
7,350,2014
7,52,2014
7,834,2014
7,525,2012
7,1023,2013
7,2991,2010
7,128,2013
8,128,2013
8,1103,2012
8,190,2012
9,84,2009
9,127,2013
9,1903,2014
9,47,2014
10,856,2011
10,789,2013
10,242,2013
10,1297,2013
10,272,2012
10,1004,2011
10,969,2013
10,827,2013
10,411,2009
11,172,2013
11,121,2012
11,288,2013
11,734,2011
11,53,2011
11,862,2011
11,1340,2013
11,798,2014
11,880,2014
11,202,2012
12,75,2013
12,204,2014
12,65,2013
12,327,2014
12,154,2013
12,666,2011
12,492,2010
12,315,2012
12,139,2013
12,138,2012
12,1052,2012
12,171,2013
12,21,2014
13,140,2011
13,19,2012
13,31,2008
13,789,2013
13,335,2013
13,969,2013
13,915,2013
13,160,2013
13,620,2013
13,2,2013
13,452,2013
13,591,2013
13,652,2013
13,175,2013
13,243,2013
13,242,2013
13,1296,2014
13,176,2013
13,819,2013
13,279,2013
13,215,2013
13,296,2014
13,1084,2014
13,436,2013
13,45,2008
13,800,2014
13,1356,2013
13,3288,2012
13,517,2013
13,410,2013
13,72,2013
13,80,2011
13,119,2005
13,251,2011
13,910,2014
13,117,2012
13,203,2013
13,2969,2009
13,1453,2011
13,980,2009
14,1320,2013
14,2,2012
14,296,2014
14,774,2013
14,896,2014
14,1023,2013
14,128,2013
14,437,2013
14,1339,2012
14,602,2012
14,320,2013
14,715,2013
15,499,2012
15,21,2014
15,176,2013
15,256,2013
15,76,2013
15,3865,2013
15,311,2013
15,570,2012
15,2364,2014
15,65,2013
15,2842,2011
15,160,2013
15,620,2013
15,792,2013
15,739,2013
16,19,2012
16,629,2014
16,1461,2012
16,132,2013
16,688,2012
16,176,2013
16,5,2012
16,3602,2013
16,1399,2012
16,2140,2013
16,69,2013
17,1,2014
17,1530,2013
17,1745,2014
17,5,2012
17,19,2012
17,2210,2013
18,128,2013
18,3865,2013
18,21,2014
18,176,2013
18,256,2013
19,711,2012
19,5,2012
19,473,2012
19,601,2012
19,407,2012
19,245,2012
19,94,2012
20,765,2012
20,176,2013
20,601,2012
20,2,2013
20,19,2013
20,4835,2012
20,5,2012
21,3151,2011
21,3456,2009
21,19,2012
21,2228,2010
21,7058,2013
21,1217,2009
21,38,2013
22,279,2013
22,1388,2014
22,3562,2014
