group,user
1,4
1,13
1,69
1,8627
1,9288
1,10258
1,10554
1,11013
2,4
2,25
2,76
2,93
2,166
2,193
2,365
2,454
3,4
3,36
3,95
3,257
3,321
3,376
3,789
3,1215
4,4
4,47
4,124
4,1118
4,1250
4,1265
4,1370
4,1450
5,7
5,35
5,243
5,605
5,1470
6,9
6,133
6,137
6,247
6,4404
6,5792
6,7611
6,7713
7,10
7,17
7,166
7,195
7,319
7,567
7,605
7,901
8,10
8,178
8,222
8,247
9,13
9,16
9,386
9,2140
9,2870
9,5481
9,7822
9,8379
10,15
10,33
10,140
10,217
10,397
11,16
11,47
11,597
11,606
11,1002
11,1156
11,1175
11,1481
12,16
12,68
12,109
13,17
13,24
13,52
13,207
13,219
13,440
13,550
13,684
14,17
14,33
14,165
14,236
14,264
14,2086
14,2359
15,19
15,67
15,288
15,857
15,1269
15,1297
15,3278
15,3339
16,19
16,103
16,209
16,234
16,433
16,442
16,452
16,507
17,19
17,136
17,367
17,414
17,439
17,830
17,991
17,1538
18,19
18,171
18,178
18,1647
18,1721
18,1841
18,1996
18,2163
19,19
19,176
19,191
19,495
19,934
19,953
19,1399
19,1619
20,19
20,188
20,443
20,705
20,772
20,922
20,1160
20,1268
21,19
21,207
21,752
21,1027
21,1162
21,1209
21,1392
21,1449
22,19
22,251
22,691
22,758
22,905
22,1111
22,1276
22,1309
23,19
23,593
23,775
23,787
23,816
23,864
23,1069
23,1307
24,19
24,753
24,932
24,1150
24,1180
24,1202
24,1242
24,1300
25,19
25,811
25,820
25,827
25,1030
25,1334
25,1530
25,1829
26,19
26,1128
26,1198
26,1283
26,1287
26,1454
26,1828
26,2332
27,19
27,2212
27,2235
27,2280
27,2425
27,2435
27,2444
27,2510
28,19
28,2599
28,2602
28,2691
28,2741
28,2746
28,2878
28,2936
29,19
29,2818
29,2840
29,2842
29,2944
29,2963
29,3027
29,3087
30,19
30,3018
30,3075
30,3148
30,3162
30,3163
30,3169
30,3177
31,19
31,3503
31,3553
31,3576
31,3618
31,3672
31,3755
31,3790
32,19
32,3565
32,3574
32,3577
32,3583
32,3590
32,3638
32,3675
33,19
33,3663
33,3666
33,3685
33,3703
33,3742
33,3761
33,3778
34,19
34,3724
34,3727
34,3750
34,3753
34,3802
34,3835
34,3860
35,19
35,3730
35,3768
35,3814
35,3842
35,3843
35,3845
35,3846
36,24
36,37
36,103
36,168
36,361
37,25
37,28
37,35
37,179
37,271
37,278
37,426
37,477
38,25
38,51
38,90
38,754
39,26
39,28
39,161
39,254
39,319
39,350
39,434
39,454
40,26
40,89
40,93
40,121
40,184
40,199
40,211
40,220
41,26
41,102
41,221
41,273
41,485
41,595
41,672
41,682
42,26
42,113
42,125
42,201
42,280
42,501
43,27
43,40
43,832
44,28
44,66
44,231
44,450
44,562
44,699
44,716
44,770
45,31
45,93
45,200
45,245
45,292
45,366
45,402
45,535
46,31
46,106
46,125
46,199
46,301
46,471
46,617
47,33
47,161
47,370
47,413
48,34
48,138
48,306
48,371
48,447
49,35
49,95
49,361
49,373
49,528
49,1978
49,2004
49,2102
50,35
50,113
50,144
50,296
50,340
50,485
50,572
50,627
51,35
51,184
51,197
51,254
51,444
51,479
51,545
51,647
52,35
52,187
52,195
52,228
52,360
52,501
52,548
52,571
53,36
53,37
53,159
53,169
53,370
53,397
53,435
54,37
54,95
54,382
54,413
55,41
55,49
55,114
55,1966
55,2070
56,43
56,104
56,136
56,186
56,694
56,783
56,1022
56,1188
57,43
57,127
57,313
57,1014
57,1050
57,1228
57,1314
57,1419
58,43
58,1344
58,1449
58,1687
58,1759
58,1837
58,1983
58,2099
59,43
59,1461
59,1630
59,1701
59,1709
59,1727
59,1789
59,1949
60,43
60,1751
60,1831
60,1896
60,1912
60,1973
60,2055
60,2138
61,43
61,2019
61,2104
61,2173
61,2288
61,2298
61,2344
61,2348
62,43
62,2291
62,2377
62,2392
62,2439
62,2495
62,2530
62,2547
63,43
63,2450
63,2452
63,2470
63,2560
63,2639
63,2645
63,2687
64,43
64,2741
64,2742
64,2892
64,2909
64,2955
64,2975
64,2986
65,43
65,2745
65,2865
65,3002
65,3005
65,3007
65,3076
65,3095
66,43
66,3109
66,3157
66,3164
66,3204
66,3279
66,3287
66,3292
67,43
67,3206
67,3242
67,3303
67,3307
67,3331
67,3365
67,3388
68,43
68,3480
68,3498
68,3538
68,3565
68,3616
68,3626
68,3682
69,43
69,3490
69,3529
69,3530
69,3551
69,3555
69,3561
69,3574
70,43
70,3495
70,3517
70,3535
70,3586
70,3589
70,3591
70,3595
71,43
71,3590
71,3628
71,3651
71,3740
71,3761
71,3814
71,3820
72,44
72,93
72,383
72,395
72,396
72,778
72,824
72,844
73,46
73,67
73,271
73,307
73,910
73,972
73,1038
73,1077
74,46
74,103
74,233
74,302
74,367
74,422
74,626
74,1647
75,46
75,120
75,335
75,856
76,47
76,366
76,717
76,730
76,911
76,921
76,1091
76,1464
77,47
77,1533
77,1546
77,1583
77,1620
77,1787
77,1863
77,1907
78,47
78,1958
78,1982
78,2415
78,2883
78,3053
78,3093
78,3120
79,47
79,4534
79,4539
79,4545
79,4605
79,4751
79,4813
79,4885
80,47
80,8381
80,8428
80,8450
80,8451
80,8480
80,8494
80,8505
81,47
81,9598
81,9602
81,9611
81,9634
81,9643
81,9649
81,9672
82,49
82,219
82,815
82,1136
82,1220
82,1695
82,1781
82,1850
83,49
83,1947
83,1991
83,1992
83,2066
83,2071
83,2144
83,2171
84,49
84,1955
84,2004
84,2008
84,2030
84,2060
84,2154
84,2177
85,50
85,61
85,93
85,278
85,552
85,560
85,863
86,51
86,66
86,269
86,343
86,500
86,603
86,747
86,748
87,51
87,74
87,601
87,961
87,1032
87,1071
87,1165
87,1181
88,51
88,97
88,350
88,510
88,579
88,663
88,810
88,893
89,51
89,114
89,168
89,207
89,408
89,566
89,907
89,915
90,51
90,143
90,144
90,420
90,987
91,52
91,74
91,1031
91,1079
91,1106
91,1432
91,1547
91,1558
