group,item,timestamp
1,835,2021
1,3256,2021
1,1587,2019
1,792,2020
2,99,2021
2,1074,2021
2,845,2021
2,1033,2021
3,54,2019
3,449,2019
3,4529,2020
4,78,2020
4,2461,2021
4,152,2021
4,194,2021
5,32,2020
5,46,2020
5,845,2020
5,2104,2020
5,41,2020
5,100,2020
5,1807,2020
5,93,2020
5,359,2020
6,253,2021
6,331,2020
6,20,2021
6,398,2022
6,50,2020
6,2482,2020
6,476,2021
6,6398,2020
6,87,2021
7,3421,2021
7,879,2021
7,40,2021
8,431,2020
8,730,2020
8,589,2021
8,2652,2019
9,41,2021
9,87,2021
9,845,2021
9,476,2021
9,226,2021
9,1282,2021
9,394,2020
9,557,2021
9,2259,2021
10,87,2021
10,841,2020
10,1036,2020
10,1807,2020
11,589,2021
11,398,2022
11,557,2021
11,265,2020
11,588,2020
11,354,2021
11,679,2021
11,24,2021
12,87,2022
12,652,2021
12,152,2022
13,1712,2019
13,63,2021
13,80,2020
13,40,2021
14,3189,2021
14,1036,2021
14,476,2019
15,179,2021
15,37,2021
15,265,2020
15,134,2020
16,253,2021
16,21,2021
16,535,2021
16,1339,2020
16,476,2020
17,398,2022
17,1036,2020
17,2894,2021
17,1057,2021
18,220,2019
18,857,2021
18,226,2021
19,226,2021
19,220,2021
19,134,2021
19,21,2022
20,845,2020
20,864,2019
20,134,2020
21,63,2021
21,41,2021
21,1339,2020
21,392,2021
21,152,2021
21,2894,2021
22,138,2019
22,574,2021
22,1366,2021
22,24,2021
23,152,2021
23,134,2020
23,652,2021
24,394,2021
24,908,2021
24,841,2021
24,1049,2021
24,1036,2020
25,1282,2021
25,63,2021
25,378,2021
25,557,2021
26,134,2021
26,416,2021
26,24,2021
26,354,2021
27,220,2020
27,265,2021
27,476,2020
27,63,2021
28,37,2021
28,87,2021
28,220,2020
28,1366,2020
29,722,2022
29,62,2021
29,1349,2021
30,227,2021
30,1305,2021
30,2,2021
30,1349,2021
30,18,2019
30,543,2021
31,89,2019
31,507,2019
31,34,2019
32,21,2021
32,38,2021
32,29,2021
33,1569,2021
33,186,2021
33,296,2021
34,936,2021
34,222,2020
34,52,2020
34,1241,2020
35,7,2020
35,45,2019
35,15,2019
36,936,2021
36,2,2021
36,1271,2021
36,71,2021
36,14,2021
36,297,2021
37,2149,2020
37,3,2021
37,2,2021
37,164,2021
38,2166,2021
38,3834,2020
38,218,2021
38,1714,2021
38,10,2021
38,11,2021
38,734,2021
38,3244,2021
38,938,2021
38,251,2021
38,1773,2021
39,413,2021
39,19,2021
39,30,2021
39,39,2021
40,732,2020
40,248,2021
40,659,2020
40,80,2021
40,293,2021
41,178,2020
41,1652,2020
41,213,2021
41,624,2021
41,193,2020
41,619,2019
42,800,2021
42,1991,2020
42,1343,2021
42,311,2021
42,1929,2021
42,51,2021
42,339,2020
42,146,2021
43,1630,2021
43,1415,2019
43,57,2021
43,1972,2020
43,268,2021
43,1619,2020
44,2,2019
44,3726,2020
44,1111,2021
44,39,2020
44,83,2021
44,286,2020
44,72,2020
44,254,2020
44,30,2021
44,1799,2021
45,25,2022
45,43,2022
45,1331,2021
46,114,2020
46,10,2021
46,236,2021
47,2,2021
47,529,2021
47,13,2019
47,188,2021
47,233,2021
47,907,2020
47,39,2021
47,533,2021
47,100,2021
47,10,2021
48,73,2019
48,156,2020
48,79,2020
48,1079,2020
48,104,2019
48,75,2021
49,31,2021
49,562,2021
49,424,2021
49,41,2020
49,99,2019
50,69,2020
50,131,2020
50,10,2021
50,12,2021
50,1219,2021
50,3440,2021
51,1,2020
51,324,2021
51,435,2021
51,57,2021
51,9,2021
51,1242,2021
51,713,2021
52,4,2021
52,52,2020
52,135,2021
52,81,2021
53,3,2021
53,51,2021
53,46,2021
54,22,2019
54,1980,2020
54,352,2019
54,2279,2021
55,51,2021
55,78,2021
55,30,2021
56,27,2020
56,932,2021
56,979,2020
56,237,2021
56,3604,2020
57,452,2021
57,650,2020
57,54,2021
57,85,2020
58,32,2021
58,3872,2021
58,72,2021
59,30,2021
59,537,2021
59,75,2021
59,78,2021
59,210,2021
59,3888,2022
60,1,2021
60,28,2019
60,4235,2020
60,903,2021
60,342,2021
60,85,2021
60,4654,2020
60,483,2022
61,2700,2021
61,732,2020
61,1089,2021
61,777,2020
61,293,2021
61,80,2021
62,114,2019
62,1090,2021
62,16,2020
62,105,2020
62,2010,2021
63,20,2019
63,99,2021
63,22,2020
63,4834,2019
63,481,2021
64,175,2020
64,1373,2021
64,2752,2020
64,262,2020
64,5450,2019
65,40,2021
65,154,2022
65,208,2021
65,142,2020
65,794,2021
66,28,2019
66,185,2021
66,1524,2019
66,33,2021
66,396,2020
66,405,2020
66,2224,2021
67,2,2020
67,969,2021
67,52,2021
67,879,2021
67,61,2021
