group,item,timestamp
1,1,2019
1,309,2021
1,1831,2020
1,1020,2020
1,7107,2019
1,50,2021
1,138,2020
1,2013,2020
1,1930,2019
1,1385,2021
1,37,2019
1,179,2021
1,72,2019
1,500,2021
1,666,2021
1,21,2021
1,292,2020
1,3885,2021
1,3371,2021
1,3225,2021
1,545,2021
2,835,2021
2,93,2019
2,37,2019
2,500,2021
2,666,2021
2,179,2021
2,792,2020
2,1831,2020
2,1587,2019
2,1930,2019
2,2013,2020
2,138,2020
2,50,2021
2,1020,2020
2,292,2020
2,3256,2021
2,155,2020
2,3225,2021
3,2013,2020
3,179,2021
3,666,2021
3,1831,2020
3,138,2020
3,50,2021
3,265,2021
3,500,2021
3,292,2020
3,37,2019
3,3225,2021
3,1020,2020
3,1930,2019
3,4937,2021
4,2013,2020
4,179,2021
4,1020,2020
4,1930,2019
4,292,2020
4,37,2019
4,3225,2021
4,500,2021
4,50,2021
4,138,2020
4,1831,2020
4,666,2021
5,6295,2020
5,1020,2020
5,292,2020
5,37,2019
5,1930,2019
5,1408,2019
5,179,2021
5,1831,2020
5,3225,2021
5,1140,2020
5,2013,2020
5,1733,2021
5,500,2021
5,666,2021
5,138,2020
5,50,2021
5,5789,2020
6,893,2021
6,1930,2019
6,76,2019
6,666,2021
6,1020,2020
6,292,2020
6,37,2019
6,50,2021
6,3225,2021
6,2013,2020
6,138,2020
6,500,2021
6,1831,2020
6,179,2021
7,1444,2019
7,500,2021
7,179,2021
7,37,2019
7,3225,2021
7,292,2020
7,1930,2019
7,138,2020
7,1020,2020
7,1831,2020
7,2013,2020
7,50,2021
7,666,2021
8,1074,2019
8,179,2021
8,3225,2021
8,666,2021
8,99,2021
8,50,2021
8,1033,2021
8,138,2020
8,884,2021
8,2013,2020
8,1020,2020
8,292,2020
8,37,2019
8,1930,2019
8,1773,2019
8,845,2021
8,500,2021
8,154,2021
8,378,2021
8,16,2021
8,1831,2020
8,48,2021
9,3225,2021
9,138,2020
9,666,2021
9,37,2019
9,292,2020
9,50,2021
9,1930,2019
9,1020,2020
9,1831,2020
9,179,2021
9,500,2021
9,2013,2020
10,1522,2021
10,651,2020
10,806,2020
10,868,2021
10,4380,2019
10,984,2021
10,277,2020
10,165,2021
10,204,2021
10,183,2020
10,4529,2020
10,6197,2021
10,107,2021
10,54,2019
10,684,2019
10,449,2019
11,1522,2021
11,651,2020
11,684,2019
11,183,2020
11,165,2021
11,6197,2021
11,984,2021
11,107,2021
11,204,2021
12,78,2020
12,398,2022
12,908,2021
12,87,2021
12,2104,2020
12,1807,2020
12,1153,2020
12,6398,2020
12,50,2020
12,1417,2021
12,41,2020
12,24,2021
12,2039,2021
12,2461,2021
12,845,2020
12,194,2021
12,292,2020
12,331,2020
12,574,2021
12,226,2021
12,162,2021
12,3332,2021
12,359,2020
12,152,2021
12,7222,2020
12,63,2021
12,557,2021
12,40,2021
12,3685,2021
12,3,2020
13,908,2021
13,1973,2019
13,40,2021
13,2039,2021
13,1417,2021
13,4958,2021
13,1153,2020
13,226,2021
13,87,2021
13,100,2020
13,574,2021
13,25,2021
13,398,2022
13,3685,2021
13,32,2020
13,589,2021
13,63,2021
13,2773,2022
13,576,2020
13,24,2021
13,2652,2019
13,7222,2020
14,908,2021
14,559,2020
14,1151,2020
14,398,2022
14,226,2021
14,458,2020
14,87,2021
14,1417,2021
14,3685,2021
14,40,2021
14,574,2021
14,24,2021
14,63,2021
14,7222,2020
14,2039,2021
14,1153,2020
15,908,2021
15,398,2022
15,24,2021
15,3685,2021
15,1417,2021
15,1153,2020
15,13,2021
15,226,2021
15,87,2021
15,12,2019
15,40,2021
15,1286,2021
15,7222,2020
15,2039,2021
15,63,2021
15,574,2021
16,908,2021
16,2482,2020
16,253,2021
16,1153,2020
16,87,2021
16,20,2021
16,2039,2021
16,24,2021
16,3685,2021
16,40,2021
16,1417,2021
16,476,2021
16,63,2021
16,5818,2020
16,1554,2020
16,398,2022
16,7222,2020
16,574,2021
16,226,2021
17,1410,2021
17,87,2020
17,908,2021
17,1417,2021
17,3685,2021
17,1153,2020
17,1036,2020
17,398,2022
17,2039,2021
17,40,2021
17,841,2020
17,226,2021
17,1807,2020
17,574,2021
17,63,2021
17,4,2019
17,5,2019
17,24,2021
17,7222,2020
18,908,2021
18,2998,2021
18,40,2021
18,228,2020
18,1153,2020
18,5531,2019
18,226,2021
18,574,2021
18,87,2021
18,1058,2020
18,373,2020
18,2039,2021
18,128,2020
18,1417,2021
18,398,2022
18,24,2021
18,63,2021
18,3131,2020
18,3685,2021
18,211,2020
18,7222,2020
18,1596,2021
19,214,2019
19,908,2021
19,226,2021
19,87,2021
19,40,2021
19,1417,2021
19,574,2021
19,1153,2020
19,5179,2019
19,41,2021
19,3685,2021
19,2259,2021
19,398,2022
19,557,2021
19,24,2021
19,845,2021
19,5754,2021
19,476,2021
19,63,2021
19,57,2019
19,1281,2019
19,2445,2021
19,3329,2020
19,7222,2020
19,2039,2021
20,908,2021
20,557,2021
20,5060,2020
20,226,2021
20,1153,2020
20,1417,2021
20,502,2021
20,588,2020
20,574,2021
20,265,2020
20,398,2022
20,2039,2021
20,24,2021
20,679,2021
20,589,2021
20,3685,2021
20,87,2021
20,6776,2021
20,7222,2020
20,63,2021
20,40,2021
21,448,2022
21,195,2021
21,6244,2019
21,2128,2021
21,1943,2020
21,3908,2021
21,628,2021
21,3143,2020
21,2113,2019
21,460,2021
22,4391,2022
22,1125,2021
22,670,2019
22,311,2021
22,1663,2020
22,1318,2020
22,1147,2021
22,1203,2021
22,1117,2021
22,429,2019
23,1349,2021
23,7360,2020
23,18,2019
23,722,2022
23,543,2021
23,1337,2021
23,1305,2021
23,227,2021
23,62,2021
24,89,2019
24,93,2019
24,7107,2019
25,82,2021
25,713,2021
25,7,2019
25,507,2019
25,8,2021
25,34,2019
26,103,2020
26,53,2021
26,18,2019
27,38,2021
27,296,2021
27,1009,2021
27,29,2021
27,35,2019
27,95,2021
27,1569,2021
27,21,2021
27,65,2021
27,2613,2021
27,186,2021
28,222,2020
28,30,2021
28,936,2021
28,85,2020
28,2570,2021
28,1241,2020
28,52,2020
28,4006,2020
29,1592,2019
29,378,2020
29,1487,2019
29,1691,2020
29,1331,2020
29,3345,2020
29,786,2021
29,149,2021
29,18,2019
29,5686,2021
30,157,2019
30,637,2021
30,1050,2019
30,449,2020
30,1754,2021
30,190,2020
30,2941,2021
30,771,2019
30,1208,2019
30,4817,2021
30,2804,2021
30,3979,2021
30,4963,2021
30,237,2021
30,606,2019
31,1553,2020
31,339,2022
31,48,2020
31,197,2019
31,39,2019
31,147,2021
31,34,2021
31,1952,2019
31,45,2019
31,2745,2019
31,7,2020
31,15,2019
31,146,2019
31,82,2020
31,3922,2020
32,1553,2020
32,339,2022
32,48,2020
32,1052,2022
32,197,2019
32,866,2019
32,2225,2020
32,2745,2019
32,1952,2019
32,146,2019
32,3922,2020
32,808,2020
32,82,2020
32,806,2020
33,14,2021
33,2220,2020
33,1271,2021
33,936,2021
33,553,2022
33,760,2020
33,71,2021
33,2,2021
33,297,2021
34,60,2021
34,3,2021
34,10,2020
34,1149,2019
34,164,2021
34,2149,2020
34,2,2021
34,5701,2021
34,7,2020
35,251,2021
35,10,2021
35,6964,2020
35,5008,2020
35,3992,2020
35,2452,2020
35,824,2019
35,5497,2019
35,1773,2021
35,2936,2021
35,1714,2021
35,3834,2020
35,2166,2021
35,2534,2021
35,734,2021
35,938,2021
35,3244,2021
35,218,2021
35,4827,2019
35,11,2021
36,3254,2019
36,413,2021
36,30,2021
36,775,2021
36,39,2021
36,19,2021
36,45,2021
36,101,2021
37,1352,2021
37,3351,2019
37,1745,2021
37,4579,2020
37,3519,2020
37,5550,2021
37,1902,2019
37,3490,2020
37,6681,2021
37,4541,2019
37,4445,2021
37,1222,2021
37,2176,2020
37,4796,2020
37,3475,2020
37,5729,2020
38,796,2020
38,510,2020
38,6657,2020
38,140,2021
38,2469,2020
38,248,2020
38,777,2020
38,2700,2021
38,365,2021
38,2520,2021
38,316,2021
38,659,2020
38,80,2021
38,293,2021
38,732,2020
38,2493,2021
38,4118,2021
39,7068,2020
39,619,2019
39,1628,2019
39,429,2021
39,624,2021
39,2484,2022
39,193,2020
39,311,2020
39,178,2020
39,1652,2020
39,3348,2021
39,213,2021
39,637,2019
39,1040,2019
39,1195,2020
39,6292,2021
39,5709,2020
39,70,2020
39,949,2020
40,1698,2020
40,2624,2019
40,1195,2020
40,311,2020
40,4081,2021
40,3948,2020
40,70,2020
40,2813,2021
40,988,2020
40,949,2020
40,6292,2021
40,5709,2020
40,1966,2020
40,3348,2021
41,311,2020
41,3348,2021
41,1195,2020
41,155,2019
41,6292,2021
41,70,2020
41,949,2020
41,5709,2020
42,6965,2020
42,311,2020
42,1195,2020
42,3863,2019
42,74,2020
42,70,2020
42,6282,2019
42,5811,2019
42,6292,2021
42,949,2020
42,3348,2021
42,5709,2020
43,311,2020
43,51,2021
43,1195,2020
43,9,2022
43,800,2021
43,33,2021
43,1343,2021
43,3348,2021
43,6292,2021
43,146,2021
43,339,2020
43,6,2021
43,2503,2021
43,260,2020
