group,user
1,5
1,3459
1,4336
1,4410
1,4455
1,4464
1,4515
1,4683
1,5055
1,5074
1,5204
1,5418
1,5422
1,5424
2,5
2,5526
2,5807
2,5981
2,6085
2,6132
2,6138
2,6164
2,6244
3,5
3,6314
3,6360
4,5
4,6380
4,6426
5,5
5,6601
5,6617
5,6629
5,6766
5,6779
5,6797
5,6884
5,7027
5,7029
6,5
6,7152
6,7167
6,7193
6,7225
6,7256
7,5
7,7337
7,7357
7,7391
7,7446
7,7452
7,7456
7,7487
7,7513
8,5
8,7582
8,7634
8,7681
8,7690
8,7724
8,7808
8,7879
9,5
9,7915
9,8028
9,8152
9,8234
9,8431
9,8512
9,8597
10,11
10,763
10,1330
10,1378
10,1683
10,1773
10,1880
10,2044
10,2203
10,2244
11,11
11,2178
11,2282
11,2401
12,14
12,1868
12,1882
12,1924
12,2006
12,2026
12,2118
12,2208
12,2222
12,2403
12,2618
12,2880
12,2914
12,2956
13,14
13,2051
13,2347
13,2604
13,2684
13,2706
13,2908
13,2937
13,3024
13,3194
13,3343
13,3392
13,3518
14,14
14,2538
14,2814
15,14
15,2646
15,2949
15,2974
15,3020
15,3066
15,3195
15,3206
15,3389
15,3494
16,14
16,2963
16,3049
16,3067
16,3070
16,3091
16,3141
17,14
17,3189
17,3201
17,3349
17,3484
17,3524
17,3666
17,3939
17,4162
18,14
18,3222
18,3275
18,3395
18,3529
18,3580
18,3623
18,3637
18,3847
18,3883
18,3906
18,3927
19,14
19,3242
19,3438
19,3468
19,3508
19,3525
19,3571
19,3572
19,3594
19,3746
19,3766
19,3838
20,14
20,3298
20,3516
20,3724
20,3943
20,3995
20,4145
21,16
21,256
21,712
21,1211
21,1290
21,1379
21,1431
22,17
22,435
22,730
22,2838
23,21
23,2499
23,2647
23,2697
23,3218
23,3394
23,3421
23,3956
23,4083
23,4101
23,4155
24,21
24,5418
24,5439
24,5508
24,5981
24,6028
24,6037
24,6057
24,6186
24,6264
24,6380
25,21
25,5422
25,6085
25,6438
25,6458
25,6601
25,6681
25,6686
25,6748
25,6760
25,6882
25,6976
26,21
26,7225
26,7391
26,7687
26,7765
26,7781
26,7892
27,22
27,3261
27,3274
27,3557
27,5244
27,6576
27,6657
27,7101
27,7239
27,7397
27,7468
27,7953
27,7954
28,25
28,97
28,3391
29,27
29,128
29,317
29,354
29,1862
30,31
30,103
30,359
30,616
30,919
31,35
31,1027
31,1625
31,1626
31,1669
31,1842
31,1848
31,1933
31,2043
32,35
32,1522
32,1773
32,2300
32,2374
32,2460
32,3079
33,38
33,212
33,375
34,39
34,579
34,778
34,848
34,3387
35,40
35,117
35,357
35,391
35,422
36,41
36,54
